tag,text
EXAMPLE,It's a hotel used mainly by people passing through. 
HEADWORD,pass up
DEFINITION,to not take advantage of an opportunity
EXAMPLE,I can't believe you passed up the chance to do a parachute jump. 
HEADWORD,pat down
DEFINITION,"to touch someone's clothes in order to check whether they are carrying something such as a weapon or illegal drugs, for example at an airport"
EXAMPLE,People wearing leather jackets are usually patted down. 
HEADWORD,patch through
DEFINITION,to allow someone speaking to you on a phone or radio to speak to someone else
EXAMPLE,I'm just patching you through now.
HEADWORD,patch together
DEFINITION,to make something quickly and often carelessly by putting together various objects or ideas
EXAMPLE,We managed to patch together an impromptu evening's entertainment. 
HEADWORD,patch up
DEFINITION,to become friends with someone again after a disagreement
EXAMPLE,The meeting was intended to patch up relations between the two sides. 
HEADWORD,pave over
DEFINITION,"to cover an area of ground with a hard surface, using bricks, blocks of stone etc"
EXAMPLE,Many of the region's orchards have been paved over.
HEADWORD,pawn off
DEFINITION,"to persuade someone to buy or accept something that you do not want, especially something of low quality"
EXAMPLE,I managed to pawn off all of the old stock.
HEADWORD,pawn off as
DEFINITION,to pretend that someone or something is good when they are not in order to deceive someone else
EXAMPLE,They tried to pawn him off as some sort of expert. 
HEADWORD,pay back
DEFINITION,to give someone the same amount of money that you borrowed from them
EXAMPLE,I'll be able to pay you back next week. 
HEADWORD,pay down
DEFINITION,to pay an amount of money you owe in small amounts over a long period of time
EXAMPLE,Should we use the surplus to cut taxes or to pay down the national debt?
HEADWORD,pay in
DEFINITION,to put money into your bank account
EXAMPLE,I'd like to pay these two cheques in. 
HEADWORD,pay into
DEFINITION,to put money into your bank account
EXAMPLE,You can pay cash into any one of our three hundred branches. 
HEADWORD,pay out
DEFINITION,"to spend or pay money, especially a lot of money"
EXAMPLE,We've paid out thousands of pounds in health insurance over the years. 
HEADWORD,pay up
DEFINITION,"to pay money that you owe, especially when you are unwilling to pay"
EXAMPLE,We're waiting for the insurance company to pay up.
HEADWORD,peck at
DEFINITION,"to eat only a small amount of a meal, without much interest"
EXAMPLE,Debbie just pecked at her food. 
HEADWORD,peel off
DEFINITION,to remove a tight or wet piece of clothing
EXAMPLE,The kids peeled off their wet clothes. 
HEADWORD,peg as
DEFINITION,to think that someone is a particular type of person or has particular qualities
EXAMPLE,We had him pegged from the start as a liar and a fraud.
HEADWORD,peg at
DEFINITION,"to keep prices, salaries, or the amount of something at a particular level"
EXAMPLE,OPEC oil producers pegged the cartel's output at 26.6 million barrels per day.
HEADWORD,peg away
DEFINITION,"to keep doing something in a determined way, especially when it is boring or difficult"
EXAMPLE,"To succeed, you have to keep pegging away. "
HEADWORD,peg back
DEFINITION,to control something so that it does not increase above a particular level
EXAMPLE,Government measures to peg back inflation have caused a recession. 
HEADWORD,peg out
DEFINITION,to die
EXAMPLE,The old guy just pegged out on the spot. 
HEADWORD,peg to
DEFINITION,to control the level of something in relation to something else
EXAMPLE,The country's peso is pegged to the dollar.
HEADWORD,pen in
DEFINITION,to put an animal in a small area with a fence around it in order to keep it there
EXAMPLE,We penned the sheep in for the night. 
HEADWORD,pencil in
DEFINITION,"to arrange for something to happen or for someone to do something, knowing that it may have to be changed later"
EXAMPLE,"One match has already been organized, and they have another six pencilled in. "
HEADWORD,pension off
DEFINITION,to force someone to stop working and give them a pension
EXAMPLE,They're pensioning Helen off this year. 
HEADWORD,pep up
DEFINITION,to make someone or something more active and lively
EXAMPLE,A short break would pep you up. 
HEADWORD,be peppered with
DEFINITION,to have things in many different places all over the surface
EXAMPLE,His chin was peppered with stubble. 
HEADWORD,permit of
DEFINITION,to make something possible
EXAMPLE,The results of the test permit of no other interpretation.
HEADWORD,pertain to
DEFINITION,to be directly related to something
EXAMPLE,They are trying to gather all the facts pertaining to this situation.
HEADWORD,peter out
DEFINITION,to gradually become smaller or weaker before coming to an end or disappearing completely
EXAMPLE,The narrow trail petered out before long. 
HEADWORD,phase in
DEFINITION,to gradually start using something
EXAMPLE,The new regulations can be phased in over a number of months.
HEADWORD,phase out
DEFINITION,to gradually stop using something
EXAMPLE,"Over the following three years, national currencies were phased out."
HEADWORD,phone back
DEFINITION,"to phone someone again later, for example because you were away when they phoned you earlier or because you were too busy to speak to them before"
EXAMPLE,I've got someone at the door. I'll phone you back. 
HEADWORD,phone for
DEFINITION,to phone someone in order to ask for something to be sent to you or someone to come to you
EXAMPLE,We immediately phoned for a doctor.
HEADWORD,phone in
DEFINITION,to phone the place where you work in order to leave a message
EXAMPLE,Another reporter phoned in later with the story. 
HEADWORD,phone round
DEFINITION,to phone several people in order to ask them something
EXAMPLE,It's normal for companies to phone round their big customers and try to persuade them to invest. 
HEADWORD,phone through
DEFINITION,to give someone a particular piece of information using the phone
EXAMPLE,I phoned my order through last week. 
HEADWORD,phone up
DEFINITION,to phone someone
EXAMPLE,He phoned up the editor and told her what he thought of her. 
HEADWORD,pick at
DEFINITION,to eat only small amounts of a meal because you do not feel hungry
EXAMPLE,Most of the time he just picks at his food. 
HEADWORD,pick off
DEFINITION,"to shoot people, animals, or aircraft one by one by aiming at them carefully from a distance"
EXAMPLE,A sniper in a nearby tree was picking them off one by one. 
HEADWORD,pick on
DEFINITION,"to keep treating someone badly or unfairly, especially by criticizing them"
EXAMPLE,Why do you always pick on me? 
HEADWORD,pick out
DEFINITION,to choose one person or thing from a group
EXAMPLE,Have you picked out a dress for the party? 
HEADWORD,pick over
DEFINITION,to examine a collection of things carefully so that you can decide which ones you want
EXAMPLE,Birds were picking over the rubbish washed up on the beach. 
HEADWORD,pick through
DEFINITION,to search through a collection of things in order to find something
EXAMPLE,"They are picking through the ruins, searching for survivors."
HEADWORD,pick up
DEFINITION,to lift someone or something up from a surface
EXAMPLE,He picked the phone up and dialled. 
HEADWORD,pick up after
DEFINITION,to make a place tidy after someone else has made a mess there
EXAMPLE,I'm fed up with having to pick up after you and your friends.
HEADWORD,pick up on
DEFINITION,to talk in more detail about something that someone has mentioned
EXAMPLE,I'd just like to pick up on a couple of points that you made. 
HEADWORD,pick up with
DEFINITION,to start meeting or spending time with someone who you have not seen for a while
EXAMPLE,He picked up with Jill as though the years had changed nothing.
HEADWORD,piddle around
DEFINITION,to spend time doing things that are not important
EXAMPLE,I wish you'd stop piddling around.
HEADWORD,piddle away
DEFINITION,"to waste time, energy, or money"
EXAMPLE,I piddled away the days until the weekend. 
HEADWORD,piece together
DEFINITION,to learn the truth about something by considering all the separate bits of information that you have
EXAMPLE,Detectives are still piecing together the circumstances surrounding the incident. 
HEADWORD,be pigged off
DEFINITION,to feel very annoyed or upset
EXAMPLE,He admits he was pigged off by the whole experience.
HEADWORD,pig out
DEFINITION,"to eat an extremely large amount of food, much more than you need"
EXAMPLE,She felt like pigging out for once. 
HEADWORD,pile in
DEFINITION,"to enter a place in large numbers, especially in a way that is not organized"
EXAMPLE,They opened the doors and all fifteen of us piled in. 
HEADWORD,pile on
DEFINITION,"to increase something by a large amount, or to do it a lot"
EXAMPLE,"Ten minutes into the film, the director piles on the action. "
HEADWORD,pile out
DEFINITION,"to leave a place in large numbers, especially in a way that is not organized"
EXAMPLE,Someone opened a door and we all piled out. 
HEADWORD,pile up
DEFINITION,to put a large number of things on top of each other
EXAMPLE,Newspapers and magazines were piled up on the floor. 
HEADWORD,pilot through
DEFINITION,to give someone advice or instructions that help them to do something
EXAMPLE,Our advisers are here to pilot members through the new procedure. 
HEADWORD,pin down
DEFINITION,to understand or describe something exactly
EXAMPLE,Officials are trying to pin down the cause of the power failure. 
HEADWORD,pin on
DEFINITION,"to blame someone for something, or to accuse someone of doing something, often when they are not responsible for it"
EXAMPLE,He has managed to pin the blame on the previous government. 
HEADWORD,pin up
DEFINITION,to fix something such as a picture to a wall
EXAMPLE,Have you pinned the notices up? 
HEADWORD,pine away
DEFINITION,"to feel very sad because you cannot be with the person you love, so that you become weak and ill and sometimes even die"
EXAMPLE,The dog pined away when its owner died.
HEADWORD,pine for
DEFINITION,to feel very sad because you cannot be with the person you love
EXAMPLE,She spent the days pining for him. 
HEADWORD,pipe down
DEFINITION,used for telling someone to stop talking or to make less noise
EXAMPLE,You sit there wishing the people over the fence would pipe down. 
HEADWORD,pipe up
DEFINITION,"to join a conversation, for example by interrupting or speaking for the first time"
EXAMPLE,The man at the back piped up.
HEADWORD,pit against
DEFINITION,to make someone compete or fight against someone else
EXAMPLE,Venus Williams will be pitted against her sister in tomorrow's game. 
HEADWORD,pitch against
DEFINITION,to make someone compete or fight against someone else
EXAMPLE,He was pitched against Kennedy in the battle for the party leadership.
HEADWORD,pitch at
DEFINITION,to design something so that a particular group of people will like it or buy it
EXAMPLE,Most of these shows are pitched at viewers under 25. 
HEADWORD,pitch for
DEFINITION,to try to get something that several other people or organizations are competing for
EXAMPLE,Several companies are pitching for this account.
HEADWORD,pitch in
DEFINITION,to join with other people in doing a job
EXAMPLE,"If we all pitch in, we can finish today. "
HEADWORD,pitch into
DEFINITION,"to put someone in a new situation, especially when they were not expecting it"
EXAMPLE,The incident had pitched him into the national headlines. 
HEADWORD,pitch out
DEFINITION,"to force someone to leave a place, organization etc"
EXAMPLE,She's likely to be pitched out if sales figures don't improve soon. 
HEADWORD,pitch up
DEFINITION,"to arrive, especially late or in an unusual way"
EXAMPLE,They pitched up in some old car that looked as if it should be on a scrap heap.
HEADWORD,pivot on
DEFINITION,to depend on or be based on a particular thing
EXAMPLE,The health of the company pivoted on the success of this one album.
HEADWORD,plan ahead
DEFINITION,to think carefully about what is likely to happen in the future and prepare for it
EXAMPLE,The most successful companies are always planning ahead.
HEADWORD,plan for
DEFINITION,to make plans for something to happen at a particular time or place
EXAMPLE,The shopping centre that is planned for this site may take years to build.
HEADWORD,plan on
DEFINITION,"to intend to do something, or to expect something to happen"
EXAMPLE,We are planning on going to Australia this year. 
HEADWORD,plan out
DEFINITION,to think carefully about a series of actions that you need to take in order to achieve something
EXAMPLE,Get a map before you start your journey and plan out a route. 
HEADWORD,plant out
DEFINITION,to take a young plant that is growing in a container and put it in the ground to grow
EXAMPLE,I want to plant out these geraniums today. 
HEADWORD,plant over
DEFINITION,to grow plants or trees over an area of ground so that it is covered with them
EXAMPLE,The shelters were planted over with vegetation for camouflage. 
HEADWORD,plant up
DEFINITION,"to put trees, plants, or seeds in soil in a container or in the ground"
EXAMPLE,There were enough plants to plant up four hanging baskets. 
HEADWORD,plaster over
DEFINITION,to cover a hole or area of a wall or ceiling by spreading plaster over it
EXAMPLE,I'll need to plaster over these cracks.
HEADWORD,plaster with
DEFINITION,"to cover a surface or a place with labels, advertisements, pictures etc"
EXAMPLE,She had a battered old suitcase that was plastered with labels. 
HEADWORD,play about
DEFINITION,"to behave in a silly way, especially when you should be doing something else"
EXAMPLE,Stop playing about and get on with your homework.
HEADWORD,play along
DEFINITION,"to pretend to agree with someone or something, especially in order to get what you want or to avoid an argument"
EXAMPLE,They threatened to hurt me if I didn't play along. 
HEADWORD,play around with
DEFINITION,to think about all the different possible ways of doing something before you make a decision
EXAMPLE,They played around with lots of different schemes before opting for this one.
HEADWORD,play at
DEFINITION,to do something without being very serious about it
EXAMPLE,I think she's just playing at running a business. 
HEADWORD,play back
DEFINITION,to play a message or video that has been recorded in order to listen to it or watch it
EXAMPLE,Play back the phone message. 
HEADWORD,play down
DEFINITION,to try to make a problem or difficult situation seem less serious or important than it is
EXAMPLE,At first the government played down the threat to public health. 
HEADWORD,play on
DEFINITION,to use a situation or emotions such as fear or worry in order to get what you want
EXAMPLE,She plays on the fact that people feel sorry for her. 
HEADWORD,play on
DEFINITION,"to continue to play a game, often after someone has been injured or has broken the rules"
EXAMPLE,We played on in spite of the rain. 
HEADWORD,play out
DEFINITION,to develop or end in a particular way
EXAMPLE,"They disagreed violently, and no one knew how the situation would play out. "
HEADWORD,play up to
DEFINITION,to behave in a very friendly or polite way to someone because you want them to like you or do something for you
EXAMPLE,He took great pains to play up to Joan's mother.
HEADWORD,play with
DEFINITION,"to keep touching something, especially because you are bored"
EXAMPLE,Stop playing with your hair! 
HEADWORD,plod along
DEFINITION,to walk with slow heavy steps
EXAMPLE,James was plodding along towards the rear. 
HEADWORD,plod away
DEFINITION,to keep working fairly hard doing something that is boring or that never changes
EXAMPLE,She had been plodding away at her research for years.
HEADWORD,plonk down
DEFINITION,to sit or lie down on something in a careless or noisy way
EXAMPLE,She plonked herself firmly down on the bed. 
HEADWORD,plop down
DEFINITION,"to sit down somewhere heavily, especially as if you are tired"
EXAMPLE,He plopped himself down and kicked off his shoes. 
HEADWORD,plough ahead
DEFINITION,to continue to do something that may involve problems or that other people are opposing
EXAMPLE,Their decision to plough ahead before safety checks had been made was strongly criticized. 
HEADWORD,plough back
DEFINITION,to put any profits made by your business back into it in order to make it more successful
EXAMPLE,All that money ought to have been ploughed back. 
HEADWORD,plough into
DEFINITION,"to crash into someone or something with force, especially because you are moving or driving carelessly or too fast"
EXAMPLE,Luckily no one was hurt when their car ploughed into a tree. 
HEADWORD,plough on
DEFINITION,to continue doing something that takes a lot of effort or is likely to cause you problems
EXAMPLE,"Rather than plough on regardless, we have decided to suspend the project. "
HEADWORD,plough through
DEFINITION,to read or deal with something that takes a long time and is difficult or boring
EXAMPLE,Bob was the only one to plough through all three volumes. 
HEADWORD,plough up
DEFINITION,to turn over the grass surface of a field with a plough in order to use the field for growing crops
EXAMPLE,They were ploughing up one of the fields near the river. 
HEADWORD,pluck at
DEFINITION,to pull something gently and quickly several times
EXAMPLE,Annabel was plucking at his sleeve with her fingertips.
HEADWORD,pluck from
DEFINITION,to take someone quickly from a particular place or situation
EXAMPLE,Princess Diana was very young when she was plucked from obscurity. 
HEADWORD,plug away
DEFINITION,to continue doing something in a determined way despite difficulties
EXAMPLE,I'll just keep plugging away and try to get it finished by tonight. 
HEADWORD,plug for
DEFINITION,to support or encourage someone
EXAMPLE,Their parents will all be there plugging for the team.
HEADWORD,plug in
DEFINITION,to connect a piece of equipment to an electricity supply or to another piece of equipment
EXAMPLE,Then I realized I hadn't plugged the TV in. 
HEADWORD,plug into
DEFINITION,to connect a piece of equipment to an electricity supply or to another piece of equipment
EXAMPLE,First plug the keyboard into your computer. 
HEADWORD,plug up
DEFINITION,to fill a hole with a substance or piece of material so that nothing can get through it
EXAMPLE,He'd tried to plug up every hole in the stonework. 
HEADWORD,plumb in
DEFINITION,to connect a piece of equipment such as a washing machine to the water pipes in a room so that water can flow to and from it
EXAMPLE,I plumbed in the washing machine myself. 
HEADWORD,plump down
DEFINITION,to sit down quickly and heavily
EXAMPLE,She plumped down on the bed. 
HEADWORD,plump for
DEFINITION,to choose someone or something after being unable to decide what to do
EXAMPLE,I think I'll plump for the chocolate cake this time.
HEADWORD,plump out
DEFINITION,to become fatter
EXAMPLE,She's plumped out a bit since I last saw her.
HEADWORD,plump up
DEFINITION,to hit something such as a pillow or cushion gently in order to make it return to its full shape
EXAMPLE,She started to plump up the cushions. 
HEADWORD,plunge in
DEFINITION,"to suddenly start doing something with energy and enthusiasm, but sometimes without thinking about it first"
EXAMPLE,"Your help may not be appreciated at first, but plunge in anyway. "
HEADWORD,plunge into
DEFINITION,to suddenly start doing something with energy or enthusiasm
EXAMPLE,This was not the time to be plunging into some new business venture. 
HEADWORD,plunk down
DEFINITION,"to pay a particular amount of money for something, especially when it is expensive"
EXAMPLE,"When I plunk down $3000 for a computer, I expect it to work."
HEADWORD,ply with
DEFINITION,"to keep giving someone a lot of presents, food, or drinks, especially in order to make them do something"
EXAMPLE,They plied me with food and drink until I could barely move. 
HEADWORD,point out
DEFINITION,to show someone who a person is or where something is
EXAMPLE,He pointed out the best beaches on the map. 
HEADWORD,point to
DEFINITION,to show that something exists or is true
EXAMPLE,The evidence clearly points to her guilt. 
HEADWORD,point up
DEFINITION,to emphasize something
EXAMPLE,Her research points up the difficulty of finding a solution.
HEADWORD,poke along
DEFINITION,"to move slowly, especially when others are moving faster"
EXAMPLE,If you don't stop poking along we'll be late.
HEADWORD,poke around
DEFINITION,"to try to find something, especially by moving other things"
EXAMPLE,I'll poke around in the refrigerator and see what I can find for supper. 
HEADWORD,poke at
DEFINITION,to push something quickly with your finger or a pointed object
EXAMPLE,He poked at his dinner with his fork. 
HEADWORD,polish off
DEFINITION,to eat or drink something until it is finished
EXAMPLE,It won't take the kids long to polish the cake off. 
HEADWORD,polish up
DEFINITION,"to improve your skills in something, especially something that you used to be able to do well"
EXAMPLE,I could do the job if I spent some time polishing up my Spanish. 
HEADWORD,ponce about
DEFINITION,"to waste time, especially by appearing to be busy or popular, when you should be working or paying attention to something"
EXAMPLE,"If they hadn't ponced about all week, the job could be finished by now."
HEADWORD,ponce off
DEFINITION,to get something you want by asking someone else for it instead of providing it or paying for it yourself
EXAMPLE,You're not poncing any more money off me! 
HEADWORD,pony up
DEFINITION,to pay for something
EXAMPLE,How will members of the public feel about having to pony up for this? 
HEADWORD,poop out
DEFINITION,to stop doing something because it is too difficult for you or because you are too tired
EXAMPLE,It was your fault we lost! You pooped out!
HEADWORD,pootle about
DEFINITION,to spend time doing things that you enjoy but that are not important
EXAMPLE,He spent a lot of time pootling about with a video camera.
HEADWORD,pootle along
DEFINITION,"to move along slowly and in a relaxed way, especially in a car"
EXAMPLE,I was just pootling along enjoying the scenery when a man appeared in the road.
HEADWORD,pop in
DEFINITION,to go somewhere quickly or for a short time
EXAMPLE,I'll pop in this afternoon and bring you your shopping. 
HEADWORD,pop off
DEFINITION,to die
EXAMPLE,When the old lady finally popped off they found she'd left two wills.
HEADWORD,pop on
DEFINITION,to put on an item of clothing or something such as a pair of glasses or a wig
EXAMPLE,Could you pop your glasses on again please? 
HEADWORD,pop out
DEFINITION,to leave a room or other place quickly or for a short time
EXAMPLE,Sarah's not here. She just popped out. 
HEADWORD,pop over
DEFINITION,to visit a friend or relative at their house for a short time
EXAMPLE,I've got the photos from the wedding - I'll pop over and show you tomorrow.
HEADWORD,pop round
DEFINITION,to visit someone or go somewhere quickly or for a short time
EXAMPLE,Can you pop round later? I need to speak to you. 
HEADWORD,pop up
DEFINITION,to appear very quickly or suddenly
EXAMPLE,We see this issue popping up again and again. 
HEADWORD,pore over
DEFINITION,to examine or read something very carefully and in a lot of detail
EXAMPLE,I've just left Ben poring over computer printouts with an engineer.
HEADWORD,portion out
DEFINITION,to divide something among several people
EXAMPLE,The board will have to portion out the corporation's multi-million-dollar budget among the separate business units.
HEADWORD,portray as
DEFINITION,to show or describe someone or something in a particular way
EXAMPLE,Fathers in sitcoms are often portrayed as incompetent. 
HEADWORD,pose as
DEFINITION,to pretend to be a particular person or type of person in order to trick people
EXAMPLE,Police officers posing as customers were sold some of the stolen items. 
HEADWORD,be possessed of
DEFINITION,"to have a particular quality, ability, knowledge etc"
EXAMPLE,He is possessed of a quite extraordinary intelligence.
HEADWORD,post off
DEFINITION,to send a letter or package to someone in the mail
EXAMPLE,I posted off my order form yesterday. 
HEADWORD,post up
DEFINITION,"to put information or a message where the public can see it, for example on a wall"
EXAMPLE,The headteacher posted up a list of prize-winners. 
HEADWORD,pot on
DEFINITION,to move a plant into a larger container because it has grown bigger
EXAMPLE,The new plants should be planted in small pots then potted on as they grow. 
HEADWORD,potter around
DEFINITION,to do things in a slow and enjoyable way
EXAMPLE,I just spent the rest of the day pottering around in the studio. 
HEADWORD,pounce on
DEFINITION,to quickly jump on or hold someone or something
EXAMPLE,They pounced on their suspect. 
HEADWORD,pour down
DEFINITION,to rain very hard
EXAMPLE,The rain poured down in torrents. 
HEADWORD,pour in
DEFINITION,to arrive somewhere quickly in a large group or in large amounts
EXAMPLE,The doors opened and a crowd of people poured in. 
HEADWORD,pour into
DEFINITION,to arrive somewhere in a large group or in large amounts
EXAMPLE,Donations have been pouring into the appeals office. 
HEADWORD,pour out
DEFINITION,to put some drink into a glass or cup from another container
EXAMPLE,She poured out the rest of the tea and handed it to me. 
HEADWORD,power up
DEFINITION,to switch on a computer or other piece of electrical equipment
EXAMPLE,Power up your computer and we'll start.
HEADWORD,practise on
DEFINITION,to do something bad or unpleasant to someone
EXAMPLE,We can't let him practise this emotional blackmail on us.
HEADWORD,predispose to
DEFINITION,"to make someone likely to think, feel, or behave in a particular way"
EXAMPLE,Is there a set of economic conditions that predisposes a nation to revolution? 
HEADWORD,preface with
DEFINITION,"to say, do, or write something before you say, do, or write the most important part"
EXAMPLE,His speech was prefaced with a short explanation. 
HEADWORD,prejudice against
DEFINITION,to make someone form a bad opinion about someone or something before they have enough information to know what they are really like
EXAMPLE,His ex-wife's testimony might prejudice the jurors against him.
HEADWORD,preside over
DEFINITION,to be in a position of power while important changes or events are happening
EXAMPLE,He presided over the worst season in the team's history.
HEADWORD,press ahead
DEFINITION,"to continue doing something in a determined way, despite difficulties, opposition, or interruptions"
EXAMPLE,They pressed ahead regardless of objections. 
HEADWORD,press for
DEFINITION,to try in a determined way to get something
EXAMPLE,The committee also agreed to press for changes in the current financing system. 
HEADWORD,press forward
DEFINITION,"to continue doing something in a determined way, despite difficulties"
EXAMPLE,The government says it will press forward with vital reforms.
HEADWORD,press in
DEFINITION,to move closer to something in a threatening way
EXAMPLE,The crowd was pressing in on him all the time.
HEADWORD,press into
DEFINITION,to try in a determined way to make someone do something or tell you something
EXAMPLE,She was pressed into giving the manager's son a job. 
HEADWORD,press on
DEFINITION,"to continue with a journey, even though there are obstacles or delays"
EXAMPLE,"We pressed on, hoping to arrive before dark. "
HEADWORD,presume on
DEFINITION,"to expect more than you should get or more than you have a right to, especially in your relationships with other people"
EXAMPLE,"She knew he looked on her as his role model, but was determined not to presume on that. "
HEADWORD,prevail on
DEFINITION,to ask or persuade someone to do something
EXAMPLE,She had prevailed on Dorothy to come and reason with them. 
HEADWORD,prey on
DEFINITION,to harm someone who is weak or cannot defend themselves
EXAMPLE,The gang has been preying on foreign tourists. 
HEADWORD,prick out
DEFINITION,to remove a small young plant from a pot and put it into the ground or into a bigger pot
EXAMPLE,She watched him pricking out the seedlings.
HEADWORD,pride yourself on
DEFINITION,"to feel proud about an achievement, skill, or special quality that you have"
EXAMPLE,We pride ourselves on the quality and thoroughness of our work. 
HEADWORD,print out
DEFINITION,to produce a copy of a computer document from a printer
EXAMPLE,Should I print out that graph now? 
HEADWORD,prize apart
DEFINITION,to force two things apart
EXAMPLE,I had to prize the dog's jaws apart to give him the medicine.
HEADWORD,prize out of
DEFINITION,to persuade someone to tell you something they do not want to tell you
EXAMPLE,In the end I had to prize the names out of him.
HEADWORD,proceed against
DEFINITION,to begin a case against someone in a court of law
EXAMPLE,There was never enough evidence to proceed against him.
HEADWORD,proceed from
DEFINITION,to have a particular cause or origin
EXAMPLE,Growth proceeds from a small crystal nucleus. 
HEADWORD,proceed with
DEFINITION,to do something that you have planned to do or thought about doing
EXAMPLE,The police decided not to proceed with the case. 
HEADWORD,profit from
DEFINITION,to get an advantage from a situation
EXAMPLE,She hopes to profit from the experience. 
HEADWORD,project onto
DEFINITION,"to imagine an emotion that you feel is also being felt by someone else, especially without realizing that you are doing this"
EXAMPLE,"It's not me who's unhappy, it's her! She's projecting her problems onto me."
HEADWORD,pronounce against
DEFINITION,to give a judgment against someone or something in a court of law
EXAMPLE,"The judge pronounced against the previous conviction, saying there was no firm evidence whatsoever."
HEADWORD,pronounce for
DEFINITION,to give a judgment in favour of someone or something in a court of law
EXAMPLE,Would the court pronounce for the prisoners' extradition from the UK?
HEADWORD,pronounce on
DEFINITION,"to give your opinion on something, especially in a formal way"
EXAMPLE,It is too early to pronounce on the success or failure of the project.
HEADWORD,prop up
DEFINITION,to stop something from falling by putting something under it or against it
EXAMPLE,A large handwritten notice was propped up by the door. 
HEADWORD,provide against
DEFINITION,to make arrangements to prevent or deal with something bad that might happen
EXAMPLE,It is essential to provide against future attacks. 
HEADWORD,provide for
DEFINITION,to look after someone by making money in order to buy the things that they need
EXAMPLE,She has always provided for her children. 
HEADWORD,pry out of
DEFINITION,to get information from someone with a lot of effort or difficulty
EXAMPLE,We managed to pry the secret code out of him.
HEADWORD,psych out
DEFINITION,to talk or behave very confidently in order to make someone that you are competing against feel nervous and less likely to succeed
EXAMPLE,Don't worry - he's just trying to psych you out. 
HEADWORD,psych up
DEFINITION,to try to make yourself or someone else feel mentally ready for something
EXAMPLE,Before the game everyone gets psyched up and starts shouting. 
HEADWORD,pucker up
DEFINITION,to squeeze your lips together and out before you kiss someone or when someone is going to kiss you
EXAMPLE,"Expecting a kiss, Katy puckered up her lips. "
HEADWORD,puff away
DEFINITION,"to smoke a cigarette, pipe etc for a period of time"
EXAMPLE,"She didn't smoke, but she watched the others puff away. "
HEADWORD,pull ahead
DEFINITION,to get in front of someone by moving faster than they do
EXAMPLE,"When the dog pulls ahead, the leash tightens and causes the animal discomfort. "
HEADWORD,pull apart
DEFINITION,to separate two people or animals that are fighting
EXAMPLE,When the boys started fighting no one tried to pull them apart.
HEADWORD,pull aside
DEFINITION,to take someone away from a group of people in order to talk to them on their own
EXAMPLE,He pulled Paula aside and began to whisper to her.
HEADWORD,pull down
DEFINITION,"to destroy a building, especially because it is very old or dangerous"
EXAMPLE,The group of old buildings had to be pulled down. 
HEADWORD,pull for
DEFINITION,to encourage someone or something to succeed
EXAMPLE,"I was pleased with our teamwork, with everyone pulling for each other."
HEADWORD,pull off
DEFINITION,to succeed in doing something that is difficult
EXAMPLE,Sandy managed to pull off a surprise party for her husband. 
HEADWORD,pull on
DEFINITION,"to put on clothes, especially quickly"
EXAMPLE,Emily pulled on her gloves as she walked. 
HEADWORD,pull out
DEFINITION,"to stop being involved in an activity, event, or situation"
EXAMPLE,Three players were forced to pull out because of injury. 
HEADWORD,pull round
DEFINITION,to start to get better after being ill or in a bad situation
EXAMPLE,He was just beginning to pull round after his operation. 
HEADWORD,pull through
DEFINITION,to manage to stay alive after you have been very sick or very badly injured
EXAMPLE,"Don't worry, your dad's going to pull through. "
HEADWORD,pull under
DEFINITION,"to move something or someone so that they are under the water in a river, sea, lake etc"
EXAMPLE,There are dangerous currents that can pull you under.
HEADWORD,pump away
DEFINITION,to remove liquid or gas from something using a pump
EXAMPLE,The equipment is used to pump away sewage. 
HEADWORD,pump in
DEFINITION,to force liquid or gas into a place
EXAMPLE,Pumping in carbon dioxide failed to put out the fire. 
HEADWORD,pump out
DEFINITION,to force liquid or gas out of a place
EXAMPLE,Huge generators were pumping out black smoke. 
HEADWORD,pump up
DEFINITION,to fill something with air using a pump
EXAMPLE,I need to pump up my bicycle tyres. 
HEADWORD,punch in
DEFINITION,to enter information into a machine by pressing keys or buttons
EXAMPLE,"If you punch in the wrong code, the alarm sounds. "
HEADWORD,punch out
DEFINITION,to record the time that you leave work by putting a card into a machine
EXAMPLE,He punched out early and went home. 
HEADWORD,punch up
DEFINITION,"to make information appear on something such as the screen of a computer or the screen of the till in a shop, by pressing keys or buttons"
EXAMPLE,"He punched up a price, but it was the wrong price. "
HEADWORD,purge of
DEFINITION,to remove an unpleasant feeling or an unpleasant aspect of something
EXAMPLE,He was purged of all his fears and fell into a peaceful sleep.
HEADWORD,push ahead
DEFINITION,to continue trying to achieve something in spite of opposition or difficulties
EXAMPLE,They are insisting on pushing ahead in the face of massive opposition. 
HEADWORD,push around
DEFINITION,to keep telling someone what to do in an unfair and unpleasant way
EXAMPLE,I wouldn't try to push her around if I were you. She just won't take it.
HEADWORD,push aside
DEFINITION,to refuse to think about something unpleasant
EXAMPLE,She pushed her doubts aside and carried on. 
HEADWORD,push away
DEFINITION,to show that you do not want someone's help or attention
EXAMPLE,I feel as though you're always pushing me away.
HEADWORD,push back
DEFINITION,to arrange a later time for something
EXAMPLE,The deadline has been pushed back a few days. 
HEADWORD,push by
DEFINITION,"to push someone as you go past them, in a rude way"
EXAMPLE,She pushed by him and out of the door. 
HEADWORD,push for
DEFINITION,to try hard to get or achieve something
EXAMPLE,They continue to push for more pay. 
HEADWORD,push forward
